,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
763,文化差异与跨文化交际,文学文化,郑州大学,6,2019-03-11,2019-05-31,3.0,12,立即参加,1927,57,曾利娟教授
764,无机与分析化学,理学,西安交通大学,5,2019-03-11,2019-06-07,4.0,13,立即参加,1014,8,和玲教授李银环副教授
765,管理心理学（下）,心理学,电子科技大学,4,2018-09-17,2018-11-12,2.5,9,已结束，查看内容,14311,57,祝小宁教授/博导
766,电机学,工学,哈尔滨工业大学,4,2019-03-04,2019-05-20,4.0,12,立即参加,7426,265,李勇教授/博导王骞副教授尚静教授
767,计算机操作系统,计算机,南京大学,6,2018-10-12,2019-02-01,5.0,17,已结束，查看内容,54167,75,骆斌教授、博导葛季栋副教授
768,大学物理—电磁学,理学,北京理工大学,8,2019-03-12,2019-06-10,4.0,13,立即参加,3900,78,胡海云教授吴晓丽副教授缪劲松副教授
769,学前儿童健康教育,教育教学,南京师范大学,5,2019-02-18,2019-06-17,3.0,18,立即参加,5477,146,顾荣芳教授张世义副教授叶慧高级教师方芳小学一级教师程雨洋实验师
770,大学物理—力学与热学,理学,北京理工大学,8,2019-02-25,2019-05-31,4.0,14,立即参加,19867,139,刘兆龙教授冯艳全副教授石宏霆副教授
771,植物学,理学,南京农林大学,4,2019-03-04,2019-06-10,4.0,15,立即参加,2243,201,强胜教授宋小玲教授王庆亚教授崔瑾教授陈世国副教授胡金良副教授李新华副教授，硕士生导师戴伟民副教授孙建云副教授张裕讲师张紫刚讲师刘琳莉中级实验师
772,毛泽东思想和中国特色社会主义理论体系概论,法学,武汉大学,6,2019-02-25,2019-07-20,2.5,21,立即参加,9339,1135,丁俊萍武汉大学马克思主义学院教授，博导，国家级教学名师，国家教育部社会科学委员会委员李向勇副教授陈训威实验中心主任，高工李华武汉大学马克思主义学院副教授李楠教授，博导吴向伟副教授杨军教授，博士生导师。邹金堂副教授范卫青武汉大学马克思主义学院副教授王双群副教授简繁讲师任艳讲师余永跃教授  博士生导师刘明松副教授曹亚雄教授，博士生导师付克新讲师
773,大学英语自学课程（下）,外语,北京科技大学,2,2018-02-01,2018-03-23,4.0,8,已结束，查看内容,24863,27,张敬源教授王娜副教授陈娟文副教授张丹丹讲师李金玉讲师何君萍高级讲师王深工程师沈艳娟讲师梁雅梦副教授刘荣君副教授
774,中级财务会计（三）,管理学,哈尔滨工业大学,4,2019-03-01,2019-06-30,5.0,18,立即参加,4788,42,高艳茹副教授、硕士研究生导师
775,文学经典导读,文学文化,华中师范大学,4,2019-02-25,2019-06-24,2.0,18,立即参加,9981,168,戴建业教授
776,波动光学,理学,华东师范大学,7,2019-03-11,2019-06-10,4.5,14,立即参加,887,10,管曙光教授刘金明研究员黄燕萍副教授李欣副教授
777,大学英语（口语）,外语,国防科技大学,7,2018-10-09,2019-01-18,2.0,15,已结束，查看内容,463430,258,刘源源国防语言系讲师；《大学英语口语》课程负责人彭天笑国防语言系讲师陈菁人文与社会科学学院语言文化研究所讲师李淼国防语言系讲师
778,急救常识,医药卫生,武汉大学,12,2019-03-01,2019-04-01,2.0,5,立即参加,14432,1103,赵剡教授、博士生导师陈志桥副主任医师金晓晴主治医师江城主治医师王建平副主任医师卢章洪主治医师
779,中国税制,经济学,中南财经政法大学,4,2019-03-15,2019-06-30,3.5,16,立即参加,3734,74,薛钢教授王宝顺副教授陈思霞副教授
780,创业法学,法学,江西财经大学,4,2019-03-13,2019-06-30,4.0,16,立即参加,4456,1921,邓辉教授张怡超讲师喻玲教授熊玉梅副教授杨德敏教授熊云辉讲师李忠民副教授刘先良讲师
781,化工原理（下）,工学,北京化工大学,4,2019-02-23,2019-07-06,4.0,20,立即参加,1439,31,丁忠伟教授刘丽英副教授
782,中国税制,经济学,江西财经大学,5,2019-03-25,2019-05-31,4.0,10,立即参加,3886,272,王乔教授（二级）姚林香教授徐建斌副教授伍红教授万莹教授邱慈孙副教授伍云峰副教授黄思明讲师陈荣教授李春根教授张仲芳教授黄桂香教授朱门添教授席卫群教授王雯讲师
783,中国古典家具,艺术设计,福建农林大学,5,2019-03-15,2019-05-24,3.0,11,立即参加,3567,466,刘学莘讲师林金国教授董晓英讲师赵中元讲师牛敏讲师
784,微波技术基础,工学,厦门大学,6,2019-02-21,2019-05-30,4.0,15,立即参加,1525,17,游佰强教授，廈門大學教學名師，IEEE高級會員，中國電子學會高級會員周建华教授李伟文副教授李杰工程师
785,科举与唐诗,文学文化,郑州大学,6,2019-03-05,2019-06-11,3.0,15,立即参加,976,101,王士祥教授
786,偏微分方程,理学,厦门大学,5,2019-02-25,2019-06-15,4.0,16,立即参加,2108,33,谭忠教授、博士生导师
787,创业投资,管理学,厦门大学,4,2019-02-17,2019-05-19,6.5,14,立即参加,10971,438,唐炎钊教授
788,从大学生到经理人的36项修炼,经济学,西南交通大学,8,2019-03-20,2019-07-31,3.0,20,立即参加,4507,256,李泽尧教授
789,理解马克思,哲学,南京大学,7,2019-03-04,2019-06-30,3.0,17,立即参加,54784,168,张亮教授，博士生导师。周嘉昕南京大学哲学系教授孙乐强南京大学哲学系副教授
790,微电子工艺,工学,哈尔滨工业大学,8,2019-03-04,2019-06-17,4.0,16,立即参加,885,40,王蔚教授级高工田丽副教授
791,天文探秘,理学,南京大学,6,2019-03-25,2019-07-31,2.5,19,立即参加,2634,187,李向东教授谢懿副教授陈鹏飞教授施勇教授周济林教授
792,企业战略管理,管理学,四川大学,4,2019-03-04,2019-05-27,3.0,13,立即参加,2147,41,揭筱纹教授
793,高等数学—微积分(1),理学,山东大学,5,2018-09-18,2019-01-08,4.0,17,已结束，查看内容,34894,83,"蒋晓芸教授,博导张天德教授  著名考研辅导专家王洪英副教授王玮副教授孙同军教授包芳勋教授金辉讲师刘蕴贤教授马树萍教授朱冬梅副教授高夫征副教授颜谨教授陈建良副教授崔明荣教授苏海军副教授杜世田副教授吴强副教授"
794,学习工程与管理,教育教学,北京大学,1,2018-05-25,2018-07-30,3.0,10,已结束，查看内容,17045,64,吴峰教授
795,西方现代艺术赏析,艺术设计,吉林大学,4,2019-03-20,2019-06-19,2.0,14,立即参加,2900,62,铁娆娆艺术学院 公共艺术教育中心 讲师
796,创业基础,管理学,中南财经政法大学,6,2019-02-28,2019-06-25,1.5,17,立即参加,3698,1663,邓汉慧教授李波教授喻良涛讲师黄宏伟讲师
797,中国少数民族神话赏析,文学文化,中央民族大学,3,2019-03-09,2019-06-01,5.0,13,立即参加,2107,119,汪立珍教授
798,数据结构,计算机,中国人民解放军陆军工程大学,5,2019-03-08,2019-06-17,3.0,15,立即参加,3705,45,陈卫卫教授李清副教授唐艳琴副教授李志刚讲师吴永芬讲师李杰讲师王坤讲师
799,内部控制与风险管理,管理学,中南财经政法大学,5,2018-09-10,2019-01-06,4.0,17,已结束，查看内容,10215,125,王清刚教授/博士生导师龚翔副教授董丽华副研究员吕敏康副教授冉明东副教授陈丽红教授丁琳副教授  硕士生导师彭艳讲师
800,婚恋-职场-人格,心理学,武汉理工大学,4,2019-04-01,2019-06-20,3.0,12,立即参加,3665,427,张晓文讲师雷五明教授
801,工程图学（二）,工学,吉林大学,4,2019-03-04,2019-06-25,4.0,17,立即参加,723,2,谷艳华教授
802,3D打印技术及应用,工学,西北工业大学,5,2019-03-05,2019-06-20,3.5,16,立即参加,2691,66,汪焰恩教授，博士生导师王淑侠工大侠客苟秉宸副教授
803,医用物理学,医药卫生,郑州大学,4,2019-03-05,2019-07-04,3.5,18,立即参加,1415,2,潘志峰教授
804,eye我所爱——呵护你的眼,医药卫生,四川大学,4,2019-03-29,2019-06-30,1.0,14,立即参加,1866,64,刘陇黔教授马薇主管视光师杨旭波讲师杨国渊讲师
805,数据结构与算法,计算机,北京大学,2,2018-09-17,2019-01-13,6.0,17,已结束，查看内容,35283,71,张铭教授赵海燕副教授宋国杰副教授黄骏讲师邹磊教授陈斌副教授王腾蛟教授
806,工程信号与系统,工学,西安电子科技大学,7,2019-02-25,2019-07-16,2.0,21,立即参加,978,13,郭宝龙教授朱娟娟副教授
807,速成汉语语法课堂,文学文化,北京语言大学,3,2019-03-06,2019-06-21,3.5,16,立即参加,1543,25,种一凡讲师张倩讲师蔡楠讲师蔡建永讲师
808,中国古典诗文朗诵与吟诵,文学文化,江苏师范大学,5,2019-03-04,2019-07-07,1.5,18,立即参加,3533,766,李昌集教授
809,匠心与创新——家具行业创新创业,工学,福建农林大学,4,2019-03-15,2019-05-24,2.5,11,立即参加,2514,742,林金国教授刘学莘讲师胡涛讲师牛敏讲师吴旭平讲师张龙有天健达红木总经理陈开焱九牧厨卫开发部经理范文彬金牌厨柜工业设计部经理
810,会计学原理,管理学,江西财经大学,4,2019-03-01,2019-06-24,4.0,17,立即参加,6666,218,程淑珍教授张蕊教授周冬华副教授吕晓梅副教授吴志斌讲师管考磊副教授郭华平教授蒋珩副教授
811,C语言程序设计（下）,计算机,北京理工大学,9,2019-03-18,2019-07-31,2.5,20,立即参加,10743,81,李凤霞教授薛庆副教授陈宇峰副教授余月讲师李仲君助理研究员赵三元讲师
812,中国行政法原理及应用,法学,南京大学,6,2019-03-04,2019-06-30,2.5,17,立即参加,13300,78,肖泽晟教授、博士生导师。
813,药物化学,医药卫生,中国药科大学,6,2019-02-25,2019-07-05,2.0,19,立即参加,4784,144,尤启冬教授江程副教授徐云根教授李玉艳副教授
814,高速铁路桥梁与隧道工程,工学,西南交通大学,4,2019-03-18,2019-06-11,2.0,13,立即参加,680,19,王英学教授周佳媚教授申玉生副教授李小珍教授
